Subject,Body,Text,label
Reminder: Annual leave request,"Dear team, this is a reminder to submit your timesheet by end of day Friday. If you have any issues accessing the system please contact HR. Thank you for your cooperation.","Reminder: Annual leave request Dear team, this is a reminder to submit your timesheet by end of day Friday. If you have any issues accessing the system please contact HR. Thank you for your cooperation.",0
Monthly report attached,"Good morning everyone, attached are the notes from yesterday sprint retrospective meeting. Action items have been assigned and are due by Friday. Please review and confirm receipt.","Monthly report attached Good morning everyone, attached are the notes from yesterday sprint retrospective meeting. Action items have been assigned and are due by Friday. Please review and confirm receipt.",0
Reminder: Annual leave request,"Hi, your order #12345 has been shipped and is on its way. Expected delivery is 3-5 business days. You can track your package using the tracking number provided. Thank you for your purchase.","Reminder: Annual leave request Hi, your order #12345 has been shipped and is on its way. Expected delivery is 3-5 business days. You can track your package using the tracking number provided. Thank you for your purchase.",0
"Congratulations! You won $1,000,000",Your PayPal account has been limited. You must verify your information NOW to restore access. Failure to act within 24 hours will result in permanent suspension. Click here to verify.,"Congratulations! You won $1,000,000 Your PayPal account has been limited. You must verify your information NOW to restore access. Failure to act within 24 hours will result in permanent suspension. Click here to verify. FREE MONEY",1
Monthly report attached,"Hi team, just a quick reminder that we have our weekly standup tomorrow at 9am. Please make sure to update your tasks in Jira before the meeting. See you all then. Best regards.","Monthly report attached Hi team, just a quick reminder that we have our weekly standup tomorrow at 9am. Please make sure to update your tasks in Jira before the meeting. See you all then. Best regards.",0
"Congratulations! You won $1,000,000",Dear friend I am a Nigerian prince with $15 million USD that I need to transfer urgently. I need your bank details to complete this transaction and you will receive 30 percent commission.,"Congratulations! You won $1,000,000 Dear friend I am a Nigerian prince with $15 million USD that I need to transfer urgently. I need your bank details to complete this transaction and you will receive 30 percent commission. FREE MONEY",1
Exclusive offer - $500 cash reward for you,Your credit card has been charged $299. If you did not authorize this transaction click the link immediately to cancel and get refund. Verify your account now http://refund-now.xyz,Exclusive offer - $500 cash reward for you Your credit card has been charged $299. If you did not authorize this transaction click the link immediately to cancel and get refund. Verify your account now http://refund-now.xyz URGENT!!!,1
FREE iPhone 15 - Click to claim your prize,URGENT NOTICE: Your bank account shows suspicious login from foreign country. Immediate action required. Send your PIN and password to security@bank-update.xyz to secure your account.,FREE iPhone 15 - Click to claim your prize URGENT NOTICE: Your bank account shows suspicious login from foreign country. Immediate action required. Send your PIN and password to security@bank-update.xyz to secure your account. ACT NOW!!!,1
Team meeting tomorrow at 10am,"Dear customer, thank you for subscribing to our service. Your account has been successfully created. You can now login and start using all features. Feel free to contact support if needed.","Team meeting tomorrow at 10am Dear customer, thank you for subscribing to our service. Your account has been successfully created. You can now login and start using all features. Feel free to contact support if needed.",0
Team meeting tomorrow at 10am,"Dear customer, thank you for subscribing to our service. Your account has been successfully created. You can now login and start using all features. Feel free to contact support if needed.","Team meeting tomorrow at 10am Dear customer, thank you for subscribing to our service. Your account has been successfully created. You can now login and start using all features. Feel free to contact support if needed.",0
Team meeting tomorrow at 10am,"Hello, please find attached the monthly financial report for your review. Let me know if you have any questions or need additional information. Thanks and have a great day.","Team meeting tomorrow at 10am Hello, please find attached the monthly financial report for your review. Let me know if you have any questions or need additional information. Thanks and have a great day.",0
Welcome to our service,"Hi John, following up on our call last week regarding the Q3 budget review. Could we schedule another meeting to finalize the numbers? Let me know your availability. Thanks.","Welcome to our service Hi John, following up on our call last week regarding the Q3 budget review. Could we schedule another meeting to finalize the numbers? Let me know your availability. Thanks.",0
Meeting notes from yesterday,"Hi team, just a quick reminder that we have our weekly standup tomorrow at 9am. Please make sure to update your tasks in Jira before the meeting. See you all then. Best regards.","Meeting notes from yesterday Hi team, just a quick reminder that we have our weekly standup tomorrow at 9am. Please make sure to update your tasks in Jira before the meeting. See you all then. Best regards.",0
Monthly report attached,"Hi team, just a quick reminder that we have our weekly standup tomorrow at 9am. Please make sure to update your tasks in Jira before the meeting. See you all then. Best regards.","Monthly report attached Hi team, just a quick reminder that we have our weekly standup tomorrow at 9am. Please make sure to update your tasks in Jira before the meeting. See you all then. Best regards.",0
WINNER WINNER - Lottery Results Inside,Your credit card has been charged $299. If you did not authorize this transaction click the link immediately to cancel and get refund. Verify your account now http://refund-now.xyz,WINNER WINNER - Lottery Results Inside Your credit card has been charged $299. If you did not authorize this transaction click the link immediately to cancel and get refund. Verify your account now http://refund-now.xyz URGENT!!!,1
